;Unnamed: 0.1;Unnamed: 0;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;# of options;question type;category;#_options;options_dict;model_answer_us;model_answer_uk;model_answer_us_option_match;model_answer_uk_option_match;uk_score;us_score;ukGT_usGT_score
594;594;594;Which of these characteristics do you associate with Muslims?...Devout...Do you associate this with Muslims or not?;{'United States': [0.788235294117647, 0.21176470588235294], 'Britain': [0.9130434782608695, 0.08695652173913043]};['Yes', 'No'];"(A) Yes
(B) No";GAS;0,788236;0,913044;Yes;Yes;2.0;Binary Choice;Social Dynamics;2.0;{'A': 'Yes', 'B': 'No'};B;A;No;Yes;1.0;0.0;1.0
595;595;595;As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. c. U.S. withdrawal from the Iran nuclear weapons agreement;{'United States': [0.41, 0.49, 0.1], 'Britain': [0.25252525252525254, 0.6868686868686869, 0.06060606060606061]};['Approve', 'Disapprove', 'DK/Refused'];"(A) Approve
(B) Disapprove
(C) DK/Refused";GAS;0,490001;0,686870;Disapprove;Disapprove;3.0;Likert Scale;Politics;3.0;{'A': 'Approve', 'B': 'Disapprove', 'C': 'DK/Refused'};B;B;Disapprove;Disapprove;1.0;1.0;1.0
596;596;596;Which of the following statements comes closest to your opinion? It is not necessary to believe in God in order to be moral and have good values OR It is necessary to believe in God in order to be moral and have good values?;{'United States': [0.54, 0.44, 0.02], 'Britain': [0.79, 0.2, 0.01]};['It is not necessary to believe in God in order to be moral and have good values', 'It is necessary to believe in God in order to be moral and have good values', 'DK/Refused'];"(A) It is not necessary to believe in God in order to be moral and have good values
(B) It is necessary to believe in God in order to be moral and have good values
(C) DK/Refused";GAS;0,540001;0,790001;It is not necessary to believe in God in order to be moral and have good values;It is not necessary to believe in God in order to be moral and have good values;3.0;Multiple Choice;Economy;3.0;{'A': 'It is not necessary to believe in God in order to be moral and have good values', 'B': 'It is necessary to believe in God in order to be moral and have good values', 'C': 'DK/Refused'};B;B;It is necessary to believe in God in order to be moral and have good values;It is necessary to believe in God in order to be moral and have good values;0.0;0.0;0.0
597;597;597;Now I'm going to read a list of political leaders.For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...UN Secretary- General Kofi Annan;{'United States': [0.11538461538461539, 0.46153846153846156, 0.21794871794871795, 0.20512820512820512], 'Britain': [0.28888888888888886, 0.5111111111111111, 0.1111111111111111, 0.08888888888888889]};['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];"(A) A lot of confidence
(B) Some confidence
(C) Not too much confidence
(D) No confidence at all";GAS;0,461539;0,511112;Some confidence;Some confidence;4.0;Likert Scale;Politics;4.0;{'A': 'A lot of confidence', 'B': 'Some confidence', 'C': 'Not too much confidence', 'D': 'No confidence at all'};B;B;Some confidence;Some confidence;1.0;1.0;0.0
598;598;598;Please tell me if you completely agree, mostly agree, mostly disagree, or completely disagree with...It is sometimes necessary to use military force to deal with threats to world peace;{'United States': [0.4742268041237113, 0.38144329896907214, 0.09278350515463918, 0.05154639175257732], 'Britain': [0.2828282828282828, 0.5353535353535354, 0.12121212121212122, 0.06060606060606061]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree";GAS;0,474228;0,535355;Completely agree;Mostly agree;4.0;Likert Scale;Politics;4.0;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree'};B;B;Mostly agree;Mostly agree;1.0;0.7402607402597403;1.0
599;599;599;Now I'm going to read a list of political leaders.For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all... United Nations Secretary General Ban Ki-Moon;{'United States': [0.08450704225352113, 0.4647887323943662, 0.22535211267605634, 0.22535211267605634], 'Britain': [0.11764705882352941, 0.47058823529411764, 0.23529411764705882, 0.17647058823529413]};['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];"(A) A lot of confidence
(B) Some confidence
(C) Not too much confidence
(D) No confidence at all";GAS;0,464790;0,470589;Some confidence;Some confidence;4.0;Likert Scale;Politics;4.0;{'A': 'A lot of confidence', 'B': 'Some confidence', 'C': 'Not too much confidence', 'D': 'No confidence at all'};B;B;Some confidence;Some confidence;1.0;1.0;0.6937520000000001
600;600;600;Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… f. Advances the interests of countries like ours;{'United States': [0.5742574257425742, 0.37623762376237624, 0.04950495049504951], 'Britain': [0.61, 0.35, 0.04]};['Yes', 'No', 'DK/Refused'];"(A) Yes
(B) No
(C) DK/Refused";GAS;0,574258;0,610001;Yes;Yes;3.0;Binary Choice;Politics;3.0;{'A': 'Yes', 'B': 'No', 'C': 'DK/Refused'};A;A;Yes;Yes;1.0;1.0;1.0
601;601;601;Do you think people leaving our country for jobs in other countries is a very big problem, a moderately big problem, a small problem, or not a problem at all for your country?;{'United States': [0.17, 0.21, 0.28, 0.33, 0.01], 'Britain': [0.23529411764705882, 0.36764705882352944, 0.38235294117647056, 0.0, 0.014705882352941176]};['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all', 'DK/Refused'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all
(E) DK/Refused";GAS;0,330001;0,382354;Not a problem at all;Small problem;5.0;Likert Scale;Social Dynamics;5.0;{'A': 'Very big problem', 'B': 'Moderately big problem', 'C': 'Small problem', 'D': 'Not a problem at all', 'E': 'DK/Refused'};B;B;Moderately big problem;Moderately big problem;0.740001;0.570001;1.0
602;602;602;Do you think the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilized, or do you think the U.S. and NATO should remove their troops as soon as possible?;{'United States': [0.44086021505376344, 0.5591397849462365], 'Britain': [0.44565217391304346, 0.5543478260869565]};['Keep troops in Afghanistan', 'Remove their troops'];"(A) Keep troops in Afghanistan
(B) Remove their troops";GAS;0,559141;0,554349;Remove their troops;Remove their troops;2.0;Binary Choice;Politics;2.0;{'A': 'Keep troops in Afghanistan', 'B': 'Remove their troops'};A;A;Keep troops in Afghanistan;Keep troops in Afghanistan;0.0;0.0;1.0
603;603;603;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Brazil;{'United States': [0.11688311688311688, 0.5454545454545454, 0.24675324675324675, 0.09090909090909091], 'Britain': [0.1232876712328767, 0.5753424657534246, 0.2328767123287671, 0.0684931506849315]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable";GAS;0,545456;0,575343;Somewhat favorable;Somewhat favorable;4.0;Likert Scale;Media & Technology;4.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable'};B;B;Somewhat favorable;Somewhat favorable;1.0;1.0;1.0
604;604;604;As I read some specific policies of President Barack Obama tell me if you approve or disapprove of them...Stimulating the U.S. economy through government spending.;{'United States': [0.53125, 0.46875], 'Britain': [0.8160919540229885, 0.1839080459770115]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,531251;0,816093;Approve;Approve;2.0;Likert Scale;Politics;2.0;{'A': 'Approve', 'B': 'Disapprove'};B;B;Disapprove;Disapprove;0.0;0.0;1.0
605;605;605;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the Chinese;{'United States': [0.25609756097560976, 0.524390243902439, 0.15853658536585366, 0.06097560975609756], 'Britain': [0.13580246913580246, 0.6666666666666666, 0.14814814814814814, 0.04938271604938271]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable";GAS;0,524391;0,666668;Somewhat favorable;Somewhat favorable;4.0;Likert Scale;Economy;4.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable'};C;C;Somewhat unfavorable;Somewhat unfavorable;0.7349407590361446;0.7349407590361446;1.0
606;606;606;In your opinion, these days do you think there is a growing sense of Islamic identity among Muslims in our country or don't you think so?;{'United States': [0.5802469135802469, 0.41975308641975306], 'Britain': [0.8023255813953488, 0.19767441860465115]};['Yes', 'No'];"(A) Yes
(B) No";GAS;0,580248;0,802327;Yes;Yes;2.0;Likert Scale;Economy;2.0;{'A': 'Yes', 'B': 'No'};B;B;No;No;0.0;0.0;0.8295474545454546
607;607;607;Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago? d. Germany;{'United States': [0.2727272727272727, 0.26262626262626265, 0.3838383838383838, 0.08080808080808081], 'Britain': [0.37, 0.21, 0.36, 0.06]};['More important role', 'Less important role', 'As important as 10 years ago', 'DK/Refused'];"(A) More important role
(B) Less important role
(C) As important as 10 years ago
(D) DK/Refused";GAS;0,383839;0,370001;As important as 10 years ago;More important role;4.0;Likert Scale;Media & Technology;4.0;{'A': 'More important role', 'B': 'Less important role', 'C': 'As important as 10 years ago', 'D': 'DK/Refused'};D;D;DK/Refused;DK/Refused;0.1428581428571429;0.6483526483516484;0.6064536129032259
608;608;608;As I read some specific policies of President Barack Obama tell me if you approve or disapprove of them...Closing the U.S. military prison in Guantanamo Bay.;{'United States': [0.4891304347826087, 0.5108695652173914], 'Britain': [0.8089887640449438, 0.19101123595505617]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,510871;0,808990;Disapprove;Approve;2.0;Likert Scale;Politics;2.0;{'A': 'Approve', 'B': 'Disapprove'};B;B;Disapprove;Disapprove;0.0;1.0;1.0
609;609;609;Who should bear the greatest responsibility for people's economic wellbeing in their old age - their families, the government or themselves?;{'United States': [0.20833333333333334, 0.25, 0.4791666666666667, 0.052083333333333336, 0.010416666666666666], 'Britain': [0.13402061855670103, 0.3402061855670103, 0.4020618556701031, 0.1134020618556701, 0.010309278350515464]};['Their families', 'The government', 'Themselves', 'All equally (VOL)', 'Other (VOL)'];"(A) Their families
(B) The government
(C) Themselves
(D) All equally (VOL)
(E) Other (VOL)";GAS;0,479168;0,402063;Themselves;Themselves;5.0;Likert Scale;Economy;5.0;{'A': 'Their families', 'B': 'The government', 'C': 'Themselves', 'D': 'All equally (VOL)', 'E': 'Other (VOL)'};C;C;Themselves;Themselves;1.0;1.0;0.8623873211009174
610;610;610;Does this statement describe your country very well, somewhat well, not too well, or not well at all? g. Most people have a good chance to improve their standard of living;{'United States': [0.34, 0.4, 0.17, 0.08, 0.01], 'Britain': [0.19, 0.41, 0.27, 0.12, 0.01]};['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'DK/Refused'];"(A) Very well
(B) Somewhat well
(C) Not too well
(D) Not well at all
(E) DK/Refused";GAS;0,400001;0,410001;Somewhat well;Somewhat well;5.0;Likert Scale;Economy;5.0;{'A': 'Very well', 'B': 'Somewhat well', 'C': 'Not too well', 'D': 'Not well at all', 'E': 'DK/Refused'};B;B;Somewhat well;Somewhat well;1.0;1.0;0.8623873211009174
611;611;611;Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? b. China;{'United States': [0.12, 0.31, 0.26, 0.28, 0.03], 'Britain': [0.17, 0.31, 0.19, 0.24, 0.09]};['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];"(A) Very good
(B) Somewhat good
(C) Somewhat bad
(D) Very bad
(E) DK/Refused";GAS;0,310001;0,310001;Somewhat good;Somewhat good;5.0;Likert Scale;Politics;5.0;{'A': 'Very good', 'B': 'Somewhat good', 'C': 'Somewhat bad', 'D': 'Very bad', 'E': 'DK/Refused'};B;B;Somewhat good;Somewhat good;1.0;1.0;1.0
612;612;612;In a family, when it comes to making important decisions about ____, do you think …? a. Household finances;{'United States': [0.23, 0.13, 0.63, 0.01], 'Britain': [0.25, 0.13, 0.61, 0.01]};['Men generally have more influence', 'Women generally have more influence', 'Men and women generally have about the same influence', 'DK/Refused'];"(A) Men generally have more influence
(B) Women generally have more influence
(C) Men and women generally have about the same influence
(D) DK/Refused";GAS;0,630001;0,610001;Men and women generally have about the same influence;Men and women generally have about the same influence;4.0;Multiple Choice;Social Dynamics;4.0;{'A': 'Men generally have more influence', 'B': 'Women generally have more influence', 'C': 'Men and women generally have about the same influence', 'D': 'DK/Refused'};C;C;Men and women generally have about the same influence;Men and women generally have about the same influence;1.0;1.0;1.0
613;613;613;As I read some specific policies of President Barack Obama tell me if you approve or disapprove of them...Sending additional troops to Afghanistan.;{'United States': [0.5625, 0.4375], 'Britain': [0.44565217391304346, 0.5543478260869565]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,562501;0,554349;Approve;Disapprove;2.0;Binary Choice;Politics;2.0;{'A': 'Approve', 'B': 'Disapprove'};B;B;Disapprove;Disapprove;1.0;0.0;1.0
614;614;614;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the United Nations;{'United States': [0.12, 0.47, 0.25, 0.14, 0.02], 'Britain': [0.19801980198019803, 0.48514851485148514, 0.1485148514851485, 0.07920792079207921, 0.0891089108910891]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,470001;0,485150;Somewhat favorable;Somewhat favorable;5.0;Likert Scale;Politics;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};B;B;Somewhat favorable;Somewhat favorable;1.0;1.0;1.0
615;615;615;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Arabs;{'United States': [0.175, 0.45, 0.25, 0.125], 'Britain': [0.12, 0.6266666666666667, 0.21333333333333335, 0.04]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable";GAS;0,450001;0,626668;Somewhat favorable;Somewhat favorable;4.0;Likert Scale;Social Dynamics;4.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable'};C;C;Somewhat unfavorable;Somewhat unfavorable;0.7349407590361446;0.7349407590361446;0.6936956936936938
616;616;616;Thinking about the public, would you say each of the following aspects needs to be completely reformed, needs major changes, needs minor changes, or doesn’t need to be changed? c. the political system;{'United States': [0.42, 0.43, 0.12, 0.02, 0.01], 'Britain': [0.13861386138613863, 0.37623762376237624, 0.31683168316831684, 0.12871287128712872, 0.039603960396039604]};['It needs to be completely reformed', 'It needs major changes', 'It needs minor changes', 'It doesn’t need to be changed', 'DK/Refused'];"(A) It needs to be completely reformed
(B) It needs major changes
(C) It needs minor changes
(D) It doesn’t need to be changed
(E) DK/Refused";GAS;0,430001;0,376239;It needs major changes;It needs major changes;5.0;Likert Scale;Politics;5.0;{'A': 'It needs to be completely reformed', 'B': 'It needs major changes', 'C': 'It needs minor changes', 'D': 'It doesn’t need to be changed', 'E': 'DK/Refused'};C;C;It needs minor changes;It needs minor changes;0.8088245294117647;0.8088245294117647;1.0
617;617;617;What is your opinion--next year when there is a new US president, do you think that US foreign policy will change for the better, change for the worse or not change that much?;{'United States': [0.5172413793103449, 0.05747126436781609, 0.42528735632183906], 'Britain': [0.5955056179775281, 0.033707865168539325, 0.3707865168539326]};['Change for the better', 'Change for the worse', 'Not change that much'];"(A) Change for the better
(B) Change for the worse
(C) Not change that much";GAS;0,517242;0,595507;Change for the better;Change for the better;3.0;Multiple Choice;Politics;3.0;{'A': 'Change for the better', 'B': 'Change for the worse', 'C': 'Not change that much'};B;B;Change for the worse;Change for the worse;0.0;0.0;1.0
618;618;618;Does trade with other countries lead to job creation in your country, job losses, or does it not make a difference? ;{'United States': [0.36, 0.34, 0.24, 0.06], 'Britain': [0.49, 0.17, 0.29, 0.05]};['Job creation', 'Job losses', 'Does not make a difference', 'DK/Refused'];"(A) Job creation
(B) Job losses
(C) Does not make a difference
(D) DK/Refused";GAS;0,360001;0,490001;Job creation;Job creation;4.0;Likert Scale;Economy;4.0;{'A': 'Job creation', 'B': 'Job losses', 'C': 'Does not make a difference', 'D': 'DK/Refused'};B;A;Job losses;Job creation;1.0;0.7808229178082192;1.0
619;619;619;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? d. people can say what they want without <state or government> censorship;{'United States': [0.7623762376237624, 0.18811881188118812, 0.019801980198019802, 0.019801980198019802, 0.009900990099009901], 'Britain': [0.68, 0.26, 0.04, 0.01, 0.01]};['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not too important
(D) Not important at all
(E) DK/Refused";GAS;0,762377;0,680001;Very important;Very important;5.0;Likert Scale;Politics;5.0;{'A': 'Very important', 'B': 'Somewhat important', 'C': 'Not too important', 'D': 'Not important at all', 'E': 'DK/Refused'};A;A;Very important;Very important;1.0;1.0;1.0
620;620;620;Which ONE of the following, if any, is hurting the world's environment the most...India, Germany, China, Brazil, Japan, United States or Russia?;{'United States': [0.04938271604938271, 0.0, 0.49382716049382713, 0.024691358024691357, 0.06172839506172839, 0.2716049382716049, 0.08641975308641975, 0.0, 0.012345679012345678], 'Britain': [0.043478260869565216, 0.03260869565217391, 0.43478260869565216, 0.021739130434782608, 0.021739130434782608, 0.391304347826087, 0.043478260869565216, 0.010869565217391304, 0.0]};['India', 'Germany', 'China', 'Brazil', 'Japan', 'United States', 'Russia', 'None', 'Other (VOL)'];"(A) India
(B) Germany
(C) China
(D) Brazil
(E) Japan
(F) United States
(G) Russia
(H) None
(I) Other (VOL)";GAS;0,493828;0,434784;China;China;9.0;Multiple Choice;Economy;9.0;{'A': 'India', 'B': 'Germany', 'C': 'China', 'D': 'Brazil', 'E': 'Japan', 'F': 'United States', 'G': 'Russia', 'H': 'None', 'I': 'Other (VOL)'};A;C;India;China;1.0;0.0;1.0
621;621;621;Now I am going to read you a list of things that may be problems in our country.As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Immigration;{'United States': [0.3979591836734694, 0.336734693877551, 0.19387755102040816, 0.07142857142857142], 'Britain': [0.40816326530612246, 0.3163265306122449, 0.1836734693877551, 0.09183673469387756]};['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all";GAS;0,397960;0,408164;Very big problem;Very big problem;4.0;Likert Scale;Politics;4.0;{'A': 'Very big problem', 'B': 'Moderately big problem', 'C': 'Small problem', 'D': 'Not a problem at all'};B;B;Moderately big problem;Moderately big problem;0.7674428604651163;0.7674428604651163;1.0
622;622;622;In making international policy decisions, to what extent do you think China takes into account the interests of countries like your country - a great deal, a fair amount, not too much, or not at all?;{'United States': [0.1368421052631579, 0.23157894736842105, 0.37894736842105264, 0.25263157894736843], 'Britain': [0.020833333333333332, 0.125, 0.40625, 0.4479166666666667]};['Great deal', 'Fair amount', 'Not too much', 'Not at all'];"(A) Great deal
(B) Fair amount
(C) Not too much
(D) Not at all";GAS;0,378948;0,447918;Not too much;Not at all;4.0;Likert Scale;Politics;4.0;{'A': 'Great deal', 'B': 'Fair amount', 'C': 'Not too much', 'D': 'Not at all'};B;B;Fair amount;Fair amount;0.46551824137931036;0.7413803103448277;1.0
623;623;623;In your country today, when it comes to ____ do you think …? a. Being leaders in their local communities;{'United States': [0.4, 0.04, 0.55, 0.01], 'Britain': [0.45, 0.02, 0.52, 0.01]};['Men generally have more opportunities', 'Women generally have more opportunities', 'Opportunities are generally about the same for both', 'DK/Refused'];"(A) Men generally have more opportunities
(B) Women generally have more opportunities
(C) Opportunities are generally about the same for both
(D) DK/Refused";GAS;0,550001;0,520001;Opportunities are generally about the same for both;Opportunities are generally about the same for both;4.0;Likert Scale;Social Dynamics;4.0;{'A': 'Men generally have more opportunities', 'B': 'Women generally have more opportunities', 'C': 'Opportunities are generally about the same for both', 'D': 'DK/Refused'};C;C;Opportunities are generally about the same for both;Opportunities are generally about the same for both;1.0;1.0;1.0
624;624;624;Overall, do you approve or disapprove of the international policies of President Barack Obama?;{'United States': [0.5824175824175825, 0.4175824175824176], 'Britain': [0.8133333333333334, 0.18666666666666668]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,582419;0,813334;Approve;Approve;2.0;Binary Choice;Politics;2.0;{'A': 'Approve', 'B': 'Disapprove'};B;B;Disapprove;Disapprove;0.0;0.0;1.0
625;625;625;Which of the following statements comes to closer to your view? In general, most people can be trusted OR In general, most people cannot be trusted;{'United States': [0.58, 0.39, 0.03], 'Britain': [0.6767676767676768, 0.31313131313131315, 0.010101010101010102]};['In general, most people can be trusted', 'In general, most people cannot be trusted', 'DK/Refused'];"(A) In general, most people can be trusted
(B) In general, most people cannot be trusted
(C) DK/Refused";GAS;0,580001;0,676769;In general, most people can be trusted;In general, most people can be trusted;3.0;Binary Choice;Social Dynamics;3.0;{'A': 'In general, most people can be trusted', 'B': 'In general, most people cannot be trusted', 'C': 'DK/Refused'};B;B;In general, most people cannot be trusted;In general, most people cannot be trusted;0.0;0.0;1.0
626;626;626;Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… e. Cares about the needs of ordinary people;{'United States': [0.54, 0.42, 0.04], 'Britain': [0.58, 0.4, 0.02]};['Yes', 'No', 'DK/Refused'];"(A) Yes
(B) No
(C) DK/Refused";GAS;0,540001;0,580001;Yes;Yes;3.0;Binary Choice;Politics;3.0;{'A': 'Yes', 'B': 'No', 'C': 'DK/Refused'};B;A;No;Yes;1.0;0.0;0.8344390860927153
627;627;627;Here is a list of groups, organizations and institutions. For each, please tell me what kind of influence the group is having on the way things are going in our country.Is the influence of NGO's, non-governmental organizationsvery good, somewhat good, somewhat bad or very bad in our country.;{'United States': [0.5102040816326531, 0.3979591836734694, 0.061224489795918366, 0.030612244897959183], 'Britain': [0.4742268041237113, 0.4845360824742268, 0.030927835051546393, 0.010309278350515464]};['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad'];"(A) Very good
(B) Somewhat good
(C) Somewhat bad
(D) Very bad";GAS;0,510205;0,484537;Very good;Somewhat good;4.0;Likert Scale;Politics;4.0;{'A': 'Very good', 'B': 'Somewhat good', 'C': 'Somewhat bad', 'D': 'Very bad'};A;C;Very good;Somewhat bad;0.7017553859649123;1.0;1.0
628;628;628;For each item on this list, tell me if you think it is happening a lot more, somewhat more, only a little more or not more these days than five years ago: trade and business ties between your country and other countries.;{'United States': [0.42391304347826086, 0.30434782608695654, 0.17391304347826086, 0.09782608695652174], 'Britain': [0.3626373626373626, 0.3076923076923077, 0.24175824175824176, 0.08791208791208792]};['A lot more', 'Somewhat more', 'Only a little more', 'Not more'];"(A) A lot more
(B) Somewhat more
(C) Only a little more
(D) Not more";GAS;0,423914;0,362638;A lot more;A lot more;4.0;Likert Scale;Economy;4.0;{'A': 'A lot more', 'B': 'Somewhat more', 'C': 'Only a little more', 'D': 'Not more'};B;B;Somewhat more;Somewhat more;0.781251;0.781251;0.0
629;629;629;How worried are you that a possible war with Iraq might lead to an all out war in the Middle East?;{'United States': [0.3877551020408163, 0.336734693877551, 0.1836734693877551, 0.09183673469387756], 'Britain': [0.35, 0.41, 0.17, 0.07]};['Great deal', 'Fair amount', 'Not too much', 'Not at all'];"(A) Great deal
(B) Fair amount
(C) Not too much
(D) Not at all";GAS;0,387756;0,410001;Great deal;Fair amount;4.0;Likert Scale;Economy;4.0;{'A': 'Great deal', 'B': 'Fair amount', 'C': 'Not too much', 'D': 'Not at all'};B;A;Fair amount;Great deal;0.7586216896551724;0.7586216896551724;1.0
630;630;630;Do you think the government of Iran respects the personal freedoms of its people, or don't you think so?;{'United States': [0.06741573033707865, 0.9325842696629213], 'Britain': [0.08433734939759036, 0.9156626506024096]};['Yes, respects personal freedoms', 'No, does not respect personal freedoms'];"(A) Yes, respects personal freedoms
(B) No, does not respect personal freedoms";GAS;0,932585;0,915664;No, does not respect personal freedoms;No, does not respect personal freedoms;2.0;Binary Choice;Politics;2.0;{'A': 'Yes, respects personal freedoms', 'B': 'No, does not respect personal freedoms'};B;B;No, does not respect personal freedoms;No, does not respect personal freedoms;1.0;1.0;1.0
631;631;631;I'm going to read a list of some changes that have taken place. Please tell me if you think each one has been a change for the better, a change for the worse, or hasn't it made much of a difference: birth control or family planning.;{'United States': [0.6421052631578947, 0.1368421052631579, 0.22105263157894736], 'Britain': [0.7291666666666666, 0.08333333333333333, 0.1875]};['Change for the better', 'Change for the worse', 'Not much difference'];"(A) Change for the better
(B) Change for the worse
(C) Not much difference";GAS;0,642106;0,729168;Change for the better;Change for the better;3.0;Multiple Choice;Social Dynamics;3.0;{'A': 'Change for the better', 'B': 'Change for the worse', 'C': 'Not much difference'};A;A;Change for the better;Change for the better;1.0;1.0;1.0
632;632;632;I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? h. the condition of the global economy;{'United States': [0.55, 0.35, 0.08, 0.02], 'Britain': [0.6435643564356436, 0.3069306930693069, 0.039603960396039604, 0.009900990099009901]};['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];"(A) Major threat
(B) Minor threat
(C) Not a threat
(D) DK/Refused";GAS;0,550001;0,643565;Major threat;Major threat;4.0;Likert Scale;Economy;4.0;{'A': 'Major threat', 'B': 'Minor threat', 'C': 'Not a threat', 'D': 'DK/Refused'};B;A;Minor threat;Major threat;1.0;0.7377059180327868;0.8962982962962963
633;633;633;And as a result of the coronavirus outbreak, has each of the following aspects become stronger, weaker, or not changed much? b. The religious faith of people in this country;{'United States': [0.28, 0.14, 0.47, 0.11], 'Britain': [0.14, 0.08, 0.61, 0.17]};['Stronger', 'Weaker', 'Has not changed much', 'DK/Refused'];"(A) Stronger
(B) Weaker
(C) Has not changed much
(D) DK/Refused";GAS;0,470001;0,610001;Has not changed much;Has not changed much;4.0;Likert Scale;Economy;4.0;{'A': 'Stronger', 'B': 'Weaker', 'C': 'Has not changed much', 'D': 'DK/Refused'};C;C;Has not changed much;Has not changed much;1.0;1.0;0.8782628695652175
634;634;634;Now I'm going to read you some statements about President Barack Obama.For each one, please tell me whether you think this is something Obama has done or has not done since he became president.Do you think he has gotten the United States to take significant measures to control global climate change or don't you think so?;{'United States': [0.4069767441860465, 0.5930232558139535], 'Britain': [0.23333333333333334, 0.7666666666666667]};['Has', 'Has not'];"(A) Has
(B) Has not";GAS;0,593024;0,766668;Has not;Has not;2.0;Binary Choice;Politics;2.0;{'A': 'Has', 'B': 'Has not'};B;B;Has not;Has not;1.0;1.0;0.0
635;635;635;Have you heard of the disease called swine flu found in many countries around the world, or haven't you heard of this?;{'United States': [0.98, 0.02], 'Britain': [0.95, 0.05]};['Have heard', 'Have not heard'];"(A) Have heard
(B) Have not heard";GAS;0,980001;0,950001;Have heard;Have heard;2.0;Binary Choice;Politics;2.0;{'A': 'Have heard', 'B': 'Have not heard'};A;A;Have heard;Have heard;1.0;1.0;0.8782628695652175
